wkt_geom;gid;site_name;description;river_cat;user_id;time_stamp;river_name
POINT(28.11972221999999988 -26.05972222000000116);193;Reserve;Modderfontein Reserve;rocky;19;2013-08-19T06:36:05.959;Modderfont
POINT(30.83583000000000141 -29.7778400000000012);201;Memorial Park;Ronald's Kloof Stream - tributary of the Molweni just after it exits Memorial Park;rocky;46;2015-07-03T14:48:12.46;Ronalds Kloof S
POINT(30.77291999999999916 -29.7806299999999986);199;Springside NR;Near source of Molweni inside Springside Nature Reserve;rocky;46;2015-07-03T14:38:45.975;Molweni
POINT(30.60830899999999843 -29.44251900000000077);654;D/S R614;Poplars site - Forestry present;rocky;11;2014-12-17T06:17:05.88;Mkabela
POINT(30.40152000000000143 -29.60003999999999991);191;U/S Confluence;Upstream of Confluence;rocky;40;2013-08-20T13:20:43.323;Msunduzi
POINT(30.23425999999999902 -29.48714000000000013);206;U/S Howick WWTW;Site upstream Bridge;rocky;49;2013-08-26T10:24:15.419;uMgeni
POINT(30.25427000000000177 -29.47144000000000119);207;Umgeni Valley;Tributry to the Umngeni River. The river is near a road. Found with in the Umngeni Valley Nature Reserve;rocky;49;2013-08-30T08:44:49.449;Mhlangeni
POINT(28.01558332999999834 -26.30566667000000081);209;Lower reserve;At the foot bridge at the lower reserve;rocky;19;2013-09-04T06:12:15.732;Bloubosspr
POINT(77.46882999999999697 34.12888999999999839);230;SECMOL Phey;A spring that has been impacted on by the 2010 floods. The spring/stream feeds the Indus river. The area is sandy with some rocks in the river bed. Site is 20km outside Leh, near Phey village, Jammu&Kashmir, Ladakh, India;rocky;73;2013-10-07T07:51:03.132;SECMOL Stream
POINT(28.00975000000000037 -26.28366666999999879);208;Upper gate;From the upper gate to about 50 m downstream. Tributary to Klip River.;rocky;19;2013-09-06T10:07:07.423;Bloubosspr
POINT(30.19330555999999888 -29.53950000000000031);212;MTZ1;Two meters away from the stream entering the Dam;rocky;51;2013-09-12T07:00:16.848;uMthunzima
POINT(30.19169443999999913 -29.54022222000000042);218;MTZ2;Further up the stream above the Thur-low bridge;rocky;51;2013-09-12T07:00:43.033;uMthunzima
POINT(30.19180000000000064 -29.54041000000000139);217;MTZ4;Up stream 150 meters away from the Thur-low game reserve brdge;rocky;51;2013-09-12T07:01:10.331;uMthunzima
POINT(30.19324999999999903 -29.54022222000000042);213;MTZ 3;Above the Thur-low Bridge;rocky;51;2013-09-12T07:01:29.761;Mthunzima
POINT(28.28277999999999892 -25.77712999999999965);225;Ingersol Road;Tributary of the Moreleta Spruit. Urban stream adjacent to Ingersol Road in Menlyn, Pretoria.;rocky;71;2013-09-30T10:42:28.376;Garsfontein Spr
POINT(28.29172000000000153 -25.77396999999999849);226;Faerie Glen NR;Morleta Spruit exiting the Faerie Glen Nature Reserve;rocky;71;2013-09-30T10:44:41.179;Moreleta Spruit
POINT(28.30099999999999838 -25.79883999999999844);228;Serene Valley;Residential area downstream of golf courses and shopping centres;rocky;70;2013-10-02T15:27:18.83;Moreleta
POINT(31.35638000000000147 -29.33869999999999933);233;u/s GolfCourse;rocky river bed below sugarcane plot field;rocky;83;2013-10-10T14:29:49.333;Mdlotane
POINT(30.38756000000000057 -29.63190000000000168);232;UmsunduziTrib;rocky, adjacent to sports field, downstream of the train track, houses adjacent to river;rocky;80;2013-10-14T06:50:30.811;KinnoulRd
POINT(29.6296980000000012 -29.29601800000000011);229;Aasvoelkransgro;Tributary to the Nsonge River. Rocky below waterfall - still pool;rocky;47;2013-10-14T07:29:31.338;Highmoor stream
POINT(27.92960599999999971 -32.9901309999999981);235;stirling;polluted, flowing weakly, in a suburb, municipality cut grass and cleared invaders.;rocky;38;2013-10-21T07:56:28.282;Inhlanza 
POINT(27.91536999999999935 -32.96461999999999648);236;Abbotsford;It has a rocky shore and has a polluted surface of algea and alien vegetation;rocky;91;2013-10-31T07:00:09.691;Nahoon river
POINT(30.24558999999999997 -29.48357000000000028);238;Umgeni ValleyNR;Below Shelter Falls at flat rocks in Umgeni Valley Nature Reserve. Tributary to uMgeni River.;rocky;106;2013-11-07T07:36:18.573;Shelter
POINT(28.11747000000000085 -26.12461000000000055);244;Rosen Street;Between Rosen Street and Lane Road, Dunsevern (Johannesburg East);rocky;19;2013-11-16T02:01:58.326;Jukskei
POINT(28.13216999999999857 -26.16135999999999839);243;St Andrews;Downstream from Civin Drive bridge;rocky;19;2013-11-19T12:43:34.579;Jukskei
POINT(30.1413499999999992 -27.34533000000000058);245;Slabbert bridge;River entering Wakkerstroom Wetland NR, further downstream from the Kruger Bridge.  ;rocky;121;2013-11-19T14:00:40.787;Thaka River
POINT(30.34889000000000081 -29.60544000000000153);247;D/SKingfisherLk;Downstream Kingfisher Lake Perpendicular to end of plain tree avenue National Botanical Gardens- Pmb;rocky;128;2013-12-12T11:46:15.567;Dorpspruit
POINT(30.15786999999999907 -27.33851999999999904);246;Martin's Dam;Dam above wetland;rocky;121;2013-12-11T14:52:36.104;Uthaka River
POINT(30.68550000000000111 -22.85330000000000084);614;new gauging wei;None;rocky;376;2014-11-17T08:54:04.551;Mutshundudi
POINT(30.60830899999999843 -29.44251900000000077);655;D/S R614;Poplars site - Forestry present;rocky;11;2014-12-17T06:17:13.686;Mkabela
POINT(25.60397000000000034 -33.97131000000000256);255;Holland Dam;River section centre on the Holland Dam (weir) at the base of the Settlers park cliff;rocky;130;2013-12-06T16:08:05.857;Baakens River
POINT(30.0892729999999986 -29.49876799999999832);280;Site 5;;rocky;55;2014-01-30T10:43:37.321;Dargle
POINT(30.10122499999999945 -29.49245200000000011);281;Site 6;DUCT RIVER WALK;rocky;55;2014-01-30T10:43:52.946;Dargle
POINT(28.01332999999999984 -26.32435999999999865);258;R 554;Downstream of golf course and nature reserve, upstream from R554 bridge. Sandy, on the plain of the Klip River;rocky;19;2014-01-08T10:39:44.199;Bloubosspr
POINT(30.15503 -27.34002999999999872);259;Wetlands Countr;River section between Martin's Dam and The Wakkerstroom Wetlands Reserve.  Ouhout bordering banks of river, good bird life, evidence of possibly a family of Otter.  ;rocky;121;2014-01-10T07:26:13.384;Thaka River
POINT(30.91833000000000098 -29.827770000000001);252;Wellington Rd;38C Wellington Road. 11.51km. A lovely riverside garden with cliffs.;rocky;21;2015-06-26T13:01:01.55;Palmiet (KZN)
POINT(30.8505900000000004 -29.77070000000000149);202;8 Uve Road;Uve Stream - tributary of the Molweni - just before it enters Krantzkloof NR - site at 8 Uve Road;rocky;46;2015-07-03T07:40:36.383;Uve  Stream
POINT(30.10781000000000063 -27.39830999999999861);260;KZN Bridge;Good flowing water, rocky bottom, down stream of bridge;rocky;121;2015-06-22T16:37:09.659;Thaka River
POINT(31.35638000000000147 -29.33869999999999933);234;U/S Golf Course;"Rocky river bed; below sugar cane.";rocky;82;2015-06-21T19:17:27.101;Mdlotane
POINT(30.92283000000000115 -29.82572000000000045);237;Edgecliff Road;At the Palmiet Nature Reserve Old New Germany Road 10.53 km.;rocky;21;2015-06-26T12:56:29.402;Palmiet (KZN)
POINT(30.86507999999999896 -29.80130000000000123);248;Arundal Place;12 Arundal Place. Just upstream of the New Germany Industrial Area. 21.05km;rocky;21;2015-06-26T13:00:27.356;Palmiet (KZN)
POINT(30.8805499999999995 -29.81471600000000066);250;Blair Road;Upstream of the (Mixed Industrial & Domestic) Blair Road Sewer Pump Station at the lower end of Pinetown/ New Germany Industrial Areas. 18.17km;rocky;21;2015-06-26T13:00:47.642;Palmiet (KZN)
POINT(30.86813000000000073 -29.76041000000000025);204;Exit KKNR;Molweni River just as it exits Krantzkloof Nature Reserve;rocky;46;2015-07-03T15:10:49.997;Molweni
POINT(30.83117999999999981 -29.77108000000000132);200;Kloof Falls Rd;Molweni River at the Krantzkloof Nature Reserve Interpretative Centre;rocky;46;2015-07-03T14:52:06.457;Molweni
POINT(30.84899000000000058 -29.74718000000000018);203;Nkutu Picnic;Nkutu River - tributary of the Molweni River - at the Nkutu Picnic Site at Krantzkloof Nature Reserve;rocky;46;2015-07-03T14:59:35.376;Nkutu
POINT(30.88811000000000107 -29.75028000000000006);205;U/S Confluence;Molweni River just before it joins the uMgeni RIver;rocky;46;2015-07-03T15:20:32.908;Molweni
POINT(29.86447615999999883 -29.42382157999999848);265;D/S Rose Dam;Below rose Dam & extraction pump station;rocky;55;2014-01-23T13:01:56.154;Lions
POINT(30.48629999999999995 -22.90899999999999892);615;Tshikundamalema;None;rocky;376;2014-11-17T09:01:37.987;Mutale
POINT(29.93338003999999941 -29.43537600999999881);266;D/SDam;Downstream of large dam, poultry farm and guesthouse;rocky;55;2014-01-23T13:13:01.108;Lions
POINT(30.00282999999999944 -29.42682999999999893);267;South of 271;South of 271 in diversion channel;rocky;55;2014-01-23T13:13:47.366;Lions
POINT(30.04195100000000096 -29.45126091999999929);269;Site5;DUCT river walk;rocky;55;2014-01-23T13:15:17.036;Lions
POINT(30.05368078000000054 -29.44429866000000118);270;Site6;-210;rocky;55;2014-01-23T13:15:38.975;Lions
POINT(30.06975041000000104 -29.44002126000000175);271;Site7;-194;rocky;55;2014-01-23T13:15:58.305;Lions
POINT(30.10213982000000144 -29.42980122000000165);272;D/S Lidgetton;Waterfall Downstream of Lidgetton;rocky;55;2014-01-23T13:16:17.097;Lions
POINT(30.28041999999999945 -29.32897000000000176);273;Ian Player;Farm, no industry, some alien vegetation, plantation close-by cut down.;rocky;51;2014-01-25T07:28:53.101;Phuza Moya
POINT(30.26847000000000065 -29.32786000000000115);274;Symmons trail;Rocks in stream covered in fine yellow silt.  No vegetation along the banks - eroded. ;rocky;59;2014-01-25T07:46:57.527;Symmons stream
POINT(30.22997000000000156 -29.48094000000000037);275;Symmons trail;Rocks covered in fine yellow silt.  Banks not vegetated.  Eroded. ;rocky;59;2014-01-25T07:54:35.545;Symmons stream
POINT(29.99845159999999922 -29.48090799999999945);276;Site 1;Indigenous Forest;rocky;55;2014-01-30T10:37:18.768;Dargle
POINT(30.00742999999999938 -29.48977999999999966);277;Site 2;Beef Farm;rocky;55;2014-01-30T10:38:02.616;Dargle
POINT(30.01929900000000018 -29.49318299999999837);278;Site 3;;rocky;55;2014-01-30T10:38:54.318;Dargle
POINT(30.10539500000000146 -29.49162700000000115);282;Site 7;Upstream of confluence;rocky;55;2014-01-30T10:48:34.356;Dargle
POINT(30.23122000000000043 -27.30890000000000128);283;Zietsman Site;Site just below catchment.  ;rocky;121;2014-02-12T13:10:42.14;Thaka River
POINT(30.78249999999999886 -29.76583000000000112);296;D/SChanceleyDam;Stream rises on property;rocky;209;2014-03-25T06:20:27.118;MolweniTrib
POINT(29.93239000000000161 -27.74934000000000012);284;Allen St Bridge;Downstream of Allen Street Bridge;sandy;180;2014-02-17T06:32:56.059;Ncandu
POINT(18.87851600000000118 -34.36141500000000093);287;Wheeler Road;Stream created from mountain water run-off;rocky;202;2014-03-07T07:47:08.803;Natural Stream
POINT(30.34966299999999961 -29.66053000000000139);290;Imbali;Two school very close to the river ;rocky;205;2014-03-14T09:03:05.165;Slangspruit
POINT(28.80496300000000076 -30.35560600000000164);294;Matatiele NRSV;Knira tributary,in a nature reserve, with heavy wattle infestation near a degraded gravel road;rocky;208;2014-03-24T07:46:00.938;Mvenyane 
POINT(30.78332999999999942 -29.76777999999999835);295;ChaceleyDam;Downstream of Chacely Dam, runoff from Inanda Road. Tributuary to Molweni.;rocky;209;2014-03-25T06:18:49.238;MolweniTrib
POINT(30.3616199999999985 -29.71422000000000097);298;Thornville;downstream tributary;rocky;204;2014-03-29T09:48:27.077;Slangspruit
POINT(31.91155900000000045 -21.26847300000000018);305;U/SEntranceGate;Gonarezhou National Park. first bridge after entrance gate;rocky;161;2014-04-01T07:56:34.38;Guluji 
POINT(30.36314000000000135 -29.67157999999999873);301;D/S-Q7Road;Downstream Ambleton below Q7 road ;rocky;204;2014-03-31T09:40:16.974;Slangsruit
POINT(30.36007999999999996 -29.6555800000000005);303;D/SSkhumbuzoNRd;Downstream Wilgerfontein confluence and Skhumbuzo Ngwenya Road Bridge;rocky;204;2014-03-31T09:36:58.555;Slangspruit 
POINT(30.36189999999999856 -29.66415999999999897);302;U/SSkhumbuzoNRd;1 km Upstream of Skhumbuzo Ngwenya Road Bridge. East of Imbali and adjacent to Slangspruit informal settlements;rocky;204;2014-03-31T09:37:29.083;Slangspruit 
POINT(30.36402000000000001 -29.69144999999999968);300;Amblleton;Upstream Ambleton;rocky;204;2014-04-01T07:14:25.396;Slangspruit
POINT(30.35991999999999891 -29.70822000000000074);299;Thornville;downstream dirt road;rocky;204;2014-04-01T07:24:36.084;Slangspruit
POINT(30.36623000000000161 -29.72153000000000134);297;Source;downstream the source;rocky;204;2014-04-01T07:29:35.991;Slangspruit
POINT(31.92706099999999836 -21.26489099999999866);304;2nd-Crossing;Crossing 2 inside Gonarezhou Nature Park;rocky;161;2014-04-01T08:02:58.896;Guluji
POINT(27.87194999999999823 -32.96133999999999986);308;D/S J&J Factory;HorseshoeValley. Downstream of J&J factory, agriculture, quarry. Test site below weir.;rocky;225;2014-04-22T07:43:14.265;Nahoon
POINT(30.22222999999999971 -29.49587000000000003);306;D/SMidmar;Site below Midmar;rocky;13;2014-04-22T07:19:36.951;uMngeni 
POINT(19.27261000000000024 -34.3978699999999975);309;D/S FernKloofNR;Site below Fernkloof Nature Reserve above the urban edge.  ;rocky;226;2014-04-22T08:03:17.833;Mossel River
POINT(30.2806299999999986 -23.19573000000000107);310;Matsila;River impounded upstream, passes through several villages;sandy;223;2014-04-22T09:09:47.711;Tshikali 
POINT(19.27257000000000176 -34.40751999999999811);312;WCC2;At mouth of river downstream of urban area.  Pump station nearby.;rocky;226;2014-04-13T16:21:26.294;Mussel River
POINT(30.79397399999999863 -29.75352499999999978);313;nkutu river;Cotswold Downs Golf estate;sandy;229;2014-04-14T17:55:53.589;nkutu
POINT(30.60830899999999843 -29.44251900000000077);656;D/S R614;Poplars site - Forestry present;rocky;36;2014-12-17T09:00:20.03;Mkabela
POINT(27.80947000000000102 -32.9056500000000014);307;D/S Nahoon Dam;Downstream of dam, mostly natural vegetation but some IAPs,  test sire below weir;rocky;225;2014-04-22T07:32:19.048;Nahoon River
POINT(30.81419599999999903 -29.74612799999999879);314;Brackenhill Rd;Brackenhill Road;rocky;229;2014-04-22T09:59:23.665;Nkutu
POINT(30.84834700000000041 -29.74624299999999977);315;Valley Drive;Krantzkloof Nature Reserve;rocky;229;2014-04-22T10:08:55.279;Nkutu
POINT(30.85315399999999997 -29.73204799999999892);316;Nkuthu gardens;Restaurant and function venue;rocky;229;2014-04-22T10:21:51.447;NkutuTrib
POINT(30.88723200000000091 -29.74952000000000041);317;U/S Confluence;Upstream of confluence with uMgeni;sandy;229;2014-04-22T10:32:46.595;Molweni
POINT(26.47615000000000052 -33.36969200000000058);318;U/S Howison Dam;Downstream of farm land. this river feeds into the Howison Poort Dam;rocky;230;2014-04-22T10:42:01.992;Howison Poort 
POINT(17.36621999999999844 -28.51064999999999827);323;Rudy's Diamond ;Abandoned mine nearby. ;rocky;47;2014-04-22T10:53:21.884;Orange
POINT(19.23922999999999917 -28.81193000000000026);325;U/S Gorge;Downstream scorpion and upstream gorge;sandy;13;2014-04-23T11:43:14.634;Orange
POINT(29.68981000000000137 -29.49374999999999858);329;Umzimkulu WA;Healthy mountain stream. Excellent catchment vegetation - good bank cover;rocky;47;2014-05-11T17:58:39.983;Loteni stream
POINT(-24.48999999999999844 30.21999999999999886);286;Moonwalk drive;Rocky part of river, accessible from river path.;rocky;192;2015-06-23T14:19:05.126;Umgeni
POINT(30.0521029999999989 -29.490672);279;KhululekaBridge;;rocky;12;2015-06-19T14:29:33.718;Dargle
POINT(30.86998000000000175 -29.80959999999999965);249;Cherry Road;17 Cherry Road. In Pinetown Industrial Area. Subject to ongoing pollution. Palmiet River Watch reported and a number of polluters were traced, warned or give admition of guilt fines. 19.65km;rocky;21;2015-06-28T08:34:45.448;Palmiet (KZN)
POINT(30.24641000000000091 -29.47533999999999921);264;ShelterFalls;Downstream waterfall. Fairly intact, vegetated, flow rate moderate, rocky type system with all three biotopes, good visibility of water;rocky;47;2015-07-07T10:45:11.382;Ngobongo
POINT(30.43348699999999951 -29.59336700000000064);331;U/S Confluence;Upstream of Baynespruit and Msunduzi confluence.;rocky;245;2014-05-16T06:42:50.754;Baynespruit
POINT(30.43179999999999907 -29.59379099999999951);332;200mU/S Duzi;;rocky;245;2014-05-16T06:53:59.47;Baynespruit
POINT(29.64971999999999852 -29.31556000000000139);340;Highmoor;Highmoor. Close to the source of the river.;rocky;244;2014-05-21T07:51:37.723;Klein-Mooi
POINT(31.58462000000000103 -25.70197999999999894);327;Bukhosibetfu;Rural Community & Farm Lands, in Driekoppies, Nkomazi. Site inpacted by development by Enhlaba Park, erosion & farming.;sandy;234;2014-05-29T06:27:38.052;Mbongozi 
POINT(29.68721999999999994 -29.37305999999999884);342;Kamberg Valley;Common Name: Mfulankomo. In the middle of a settlement.;rocky;244;2014-05-21T08:52:01.937;Mooi River
POINT(31.67626999999999882 -25.66345000000000098);362;Kamhlushwa-A;Luvolwetfu Gr6. Stream / Spring in the Kamhlushwa-a community, in Nkomazi. Known by the local community as the Anna Stream or Stream No.7;rocky;234;2014-05-29T06:34:02.164;Anna Stream
POINT(30.22299999999999898 -29.49277999999999977);345;D/S Midmar;Conservancy. A few hundred metres downstream from a pump house where raw sewage has been leaking into a wetland adjacent to the river on an off for months.;rocky;59;2014-05-21T09:31:32.726;uMngeni river
POINT(18.44900000000000162 -34.07500000000000284);346;U/S Sandvlei;Sandy river with vegetation in suburban area downstream of dam and agricultural area managed by Pollsmoor prison;sandy;250;2014-05-21T10:03:12.403;Westlake
POINT(30.41263999999999967 -29.58217000000000141);359;U/S Manning Br;60m U/S Manning Ave Bridge;rocky;245;2014-05-21T10:28:38.252;Baynespruit
POINT(30.41360999999999848 -29.58421999999999841);358;D/S Manning Br;140m D/S manning Ave Bridge and adjacent to informal settlement. Industrial area.;rocky;245;2014-05-21T10:37:11.93;Baynespruit
POINT(30.41442999999999941 -29.58594000000000079);357;U/S Sunfoil Oil;70m U/S Sunfoil oils, 320m below Manning Ave Bridge;rocky;245;2014-05-21T11:06:11.628;Baynespruit
POINT(30.41411000000000087 -29.58785999999999916);356;Sunfoil oils;Adjacent Sunfoil oils and informal settlement;rocky;245;2014-05-21T11:40:13.934;Baynespruit
POINT(30.41478000000000037 -29.5903899999999993);355;400m U/S Illovo;U/S Illovo Sugar, D/S Sunfoil oils;rocky;245;2014-05-21T11:43:57.918;Baynespruit
POINT(30.41664000000000101 -29.59131);354;Grix road;Grix road u/s from Illovo Sugar;rocky;245;2014-05-21T11:46:27.482;Baynespruit
POINT(30.41844000000000037 -29.59242000000000061);353;Illovo Sugar;350m above sobantu bridge, adjacent to Illovo Sugar;rocky;245;2014-05-21T11:54:31.115;Baynespruit
POINT(30.42050000000000054 -29.59274999999999878);352;Sobantu bridge;40m d/s Sobantu Bridge/ Old Bishopstowe road crossing;rocky;245;2014-05-22T06:35:31.714;Baynespruit
POINT(30.42465999999999937 -29.59293999999999869);351;1km u/s Duzi;240m below sobantu bridge;rocky;245;2014-05-22T06:39:08.744;Baynespruit
POINT(30.42257999999999996 -29.59286000000000172);350;1.2km U/S Duzi;240m downstream Sobantu bridge;rocky;245;2014-05-22T06:45:59.563;Baynespruit
POINT(30.42670999999999992 -29.59277000000000157);349;800m U/S Duzi;440m D/S Sobantu bridge;rocky;245;2014-05-22T06:50:22.995;Baynespruit
POINT(30.43041111000000143 -29.59241666999999865);347;400m U/S Duzi;downstream of Sobantu pump station;rocky;245;2014-05-22T06:51:13.61;Baynesprruit
